model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,1,96,4,15,100,65,0.0010848837245335879,"[3607, 4676]","[3607, 4676]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,2,96,4,15,100,65,0.0010848837245335879,"[3607, 4676]","[3607, 4676]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,3,96,4,15,100,65,0.0010848837245335879,"[3607, 4676]","[3607, 4676]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,1,96,4,31,100,82,0.0010848837245335879,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,2,96,4,31,100,82,0.0010848837245335879,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,3,96,4,31,100,82,0.0010848837245335879,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,1,96,4,15,100,65,0.0010848837245335879,"[2343, 2580]","[2343, 2580]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,2,96,4,15,100,65,0.0010848837245335879,"[2343, 2580]","[2343, 2580]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,3,96,4,15,100,65,0.0010848837245335879,"[2343, 2580]","[2343, 2580]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,1,96,4,21,100,73,0.0010848837245335879,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],"[1, 3603]"
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,2,96,4,21,100,73,0.0010848837245335879,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],"[1, 3603]"
dave2-track1-DE_10,max,icse20\DAVE2-Track1-DayNightSnow,4,4,0,1,3,96,4,27,100,78,0.0010848837245335879,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[1]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Fog,4,4,0,0,1,96,4,27,100,78,0.0010848837245335879,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Fog,4,4,0,0,2,96,4,27,100,78,0.0010848837245335879,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Fog,4,4,0,0,3,96,4,27,100,78,0.0010848837245335879,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Rain,2,2,0,0,1,96,4,15,100,65,0.0010848837245335879,"[2945, 4364]","[2945, 4364]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Rain,2,2,0,0,2,96,4,15,100,65,0.0010848837245335879,"[2945, 4364]","[2945, 4364]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Rain,2,2,0,0,3,96,4,15,100,65,0.0010848837245335879,"[2945, 4364]","[2945, 4364]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Snow,3,3,0,0,1,96,4,21,100,73,0.0010848837245335879,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Snow,3,3,0,0,2,96,4,21,100,73,0.0010848837245335879,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-track1-DE_10,max,icse20\DAVE2-Track1-Snow,3,3,0,0,3,96,4,21,100,73,0.0010848837245335879,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-track1-DE_10,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,98,2,71,100,96,0.0014974864379017484,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
