heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,1,100,0,67,100,95,546.0379545573524,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,2,100,0,67,100,95,546.0379545573524,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,3,100,0,67,100,95,546.0379545573524,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,1,100,0,83,100,98,546.0379545573524,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,2,100,0,83,100,98,546.0379545573524,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,3,100,0,83,100,98,546.0379545573524,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,1,100,0,67,100,95,546.0379545573524,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,2,100,0,67,100,95,546.0379545573524,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,3,100,0,67,100,95,546.0379545573524,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,1,100,0,75,100,97,546.0379545573524,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],[3603]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,2,100,0,75,100,97,546.0379545573524,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],[3603]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,4,4,0,1,3,100,0,80,100,98,546.0379545573524,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,4,0,0,1,100,0,80,100,98,546.0379545573524,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,3,1,0,2,99,0,75,75,75,546.0379545573524,"[436, 2713, 3884, 6214]","[2713, 3884, 6214]",[436],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,1,3,0,3,99,0,50,25,26,546.0379545573524,"[436, 2713, 3884, 6214]",[6214],"[436, 2713, 3884]",[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,1,100,0,67,100,95,546.0379545573524,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,2,100,0,67,100,95,546.0379545573524,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,3,100,0,67,100,95,546.0379545573524,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,1,100,0,75,100,97,546.0379545573524,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,2,100,0,75,100,97,546.0379545573524,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,3,100,0,75,100,97,546.0379545573524,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
