model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNight,2,1,1,0,1,99,0,25,50,45,0.0025573495938680567,"[3607, 4676]",[4676],[3607],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNight,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNight,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightFog,5,4,1,0,1,99,0,57,80,77,0.0025573495938680567,"[2951, 3251, 3434, 5290, 5482]","[3251, 3434, 5290, 5482]",[2951],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,100,0,62,100,94,0.0025573495938680567,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,100,0,62,100,94,0.0025573495938680567,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightRain,2,1,1,0,1,99,0,25,50,45,0.0025573495938680567,"[2343, 2580]",[2580],[2343],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0,0.0025573495938680567,"[2343, 2580]",[],"[2343, 2580]",[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,100,0,57,100,93,0.0025573495938680567,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[1]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,0,40,67,62,0.0025573495938680567,"[1, 1618, 2250, 3577, 3603]","[2250, 3577]",[1618],"[1, 3603]"
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-DayNightSnow,4,3,1,1,3,99,0,50,75,71,0.0025573495938680567,"[1, 1618, 2250, 3577, 3603]","[2250, 3577, 3603]",[1618],[1]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Fog,4,4,0,0,1,100,0,57,100,93,0.0025573495938680567,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Fog,4,1,3,0,2,99,0,25,25,25,0.0025573495938680567,"[436, 2713, 3884, 6214]",[6214],"[436, 2713, 3884]",[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0,0.0025573495938680567,"[436, 2713, 3884, 6214]",[],"[436, 2713, 3884, 6214]",[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0,0.0025573495938680567,"[2945, 4364]",[],"[2945, 4364]",[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Rain,2,1,1,0,2,99,0,25,50,45,0.0025573495938680567,"[2945, 4364]",[4364],[2945],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0,0.0025573495938680567,"[2945, 4364]",[],"[2945, 4364]",[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Snow,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Snow,3,2,1,0,2,99,0,40,67,62,0.0025573495938680567,"[2664, 6197, 6448]","[6197, 6448]",[2664],[]
dave2-p10-track1-mcd_5_S32,max,DAVE2-Track1-Snow,3,0,3,0,3,0,0,0,0,0,0.0025573495938680567,"[2664, 6197, 6448]",[],"[2664, 6197, 6448]",[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-10,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[2297, 2359, 2926]","[2297, 2359, 2926]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-10,2,1,1,1,2,99,0,25,50,45,0.0025573495938680567,"[2297, 2359, 2926]",[2926],[2297],[2359]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-10,2,1,1,1,3,99,0,25,50,45,0.0025573495938680567,"[2297, 2359, 2926]",[2926],[2297],[2359]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-20,5,5,0,0,1,100,0,62,100,94,0.0025573495938680567,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 3404, 4238]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-20,4,4,0,1,2,100,0,57,100,93,0.0025573495938680567,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 4238]",[],[3404]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-20,4,4,0,1,3,100,0,57,100,93,0.0025573495938680567,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 4238]",[],[3404]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-40,3,3,0,0,1,100,0,50,100,91,0.0025573495938680567,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-40,3,3,0,0,2,100,0,50,100,91,0.0025573495938680567,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-40,3,3,0,0,3,100,0,50,100,91,0.0025573495938680567,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-50,4,4,0,0,1,100,0,57,100,93,0.0025573495938680567,"[1862, 2970, 3075, 3672]","[1862, 2970, 3075, 3672]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-50,3,3,0,1,2,100,0,50,100,91,0.0025573495938680567,"[1862, 2970, 3075, 3672]","[1862, 2970, 3672]",[],[3075]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-50,3,3,0,1,3,100,0,50,100,91,0.0025573495938680567,"[1862, 2970, 3075, 3672]","[1862, 2970, 3672]",[],[3075]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-60,1,1,0,0,1,100,0,25,100,77,0.0025573495938680567,[2595],[2595],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-60,1,1,0,0,2,100,0,25,100,77,0.0025573495938680567,[2595],[2595],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-60,1,1,0,0,3,100,0,25,100,77,0.0025573495938680567,[2595],[2595],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-70,2,2,0,0,1,100,0,40,100,87,0.0025573495938680567,"[1738, 3466]","[1738, 3466]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-70,2,2,0,0,2,100,0,40,100,87,0.0025573495938680567,"[1738, 3466]","[1738, 3466]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-70,2,2,0,0,3,100,0,40,100,87,0.0025573495938680567,"[1738, 3466]","[1738, 3466]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-80,1,1,0,0,1,100,0,25,100,77,0.0025573495938680567,[2524],[2524],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-80,1,1,0,0,2,100,0,25,100,77,0.0025573495938680567,[2524],[2524],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-80,1,1,0,0,3,100,0,25,100,77,0.0025573495938680567,[2524],[2524],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-90,1,1,0,0,1,100,0,25,100,77,0.0025573495938680567,[2541],[2541],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-90,1,1,0,0,2,100,0,25,100,77,0.0025573495938680567,[2541],[2541],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-90,1,1,0,0,3,100,0,25,100,77,0.0025573495938680567,[2541],[2541],[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-100,4,4,0,0,1,100,0,57,100,93,0.0025573495938680567,"[1799, 3896, 4419, 4861]","[1799, 3896, 4419, 4861]",[],[]
dave2-p10-track1-mcd_5_S32,max,xai-track1-fog-100,4,4,0,0,2,100,0,57,100,93,0.0025573495938680567,"[1799, 3896, 4419, 4861]","[1799, 3896, 4419, 4861]",[],[]
