model,simulation_name,ttm,FailureIDs_model1,FailureIDs_model2,detected_failure_ids_model1,detected_failure_ids_model2,undetected_failure_ids_model1,undetected_failure_ids_model2,common_undetected_ids
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-DayNight,3,"[3607, 4676]","[3607, 4676]","{4676, 3607}",set(),set(),"{4676, 3607}",[]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-DayNightFog,3,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]","{2951, 5290, 3434, 5482, 3251}","{2951, 5290, 3434, 5482, 3251}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-DayNightRain,3,"[2343, 2580]","[2343, 2580]","{2580, 2343}","{2580, 2343}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-DayNightSnow,3,"[1, 1618, 2250, 3577, 3603]","[1, 1618, 2250, 3577, 3603]","{2250, 1618, 3603, 3577}","{3577, 3603}",set(),"{2250, 1618}",[]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-Fog,3,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]","{2713, 3884, 6214}",set(),{436},"{2713, 436, 6214, 3884}",[436]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-Rain,3,"[2945, 4364]","[2945, 4364]","{2945, 4364}",set(),set(),"{2945, 4364}",[]
dave2-p10-track1-mcd_5_S128,DAVE2-Track1-Snow,3,"[2664, 6197, 6448]","[2664, 6197, 6448]","{2664, 6448, 6197}","{6448, 6197}",set(),{2664},[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-10,3,"[2297, 2359, 2926]","[2297, 2359, 2926]","{2297, 2926, 2359}",{2926},set(),{2297},[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-20,3,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 3404, 4238]","{3204, 1670, 3404, 4238, 3357}","{4238, 3204, 3357, 1670}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-40,3,"[1724, 3202, 3758]","[1724, 3202, 3758]","{3202, 1724, 3758}","{3202, 1724, 3758}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-50,3,"[1862, 2970, 3075, 3672]","[1862, 2970, 3075, 3672]","{3672, 2970, 1862}","{3672, 2970, 1862}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-60,3,[2595],[2595],{2595},{2595},set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-70,3,"[1738, 3466]","[1738, 3466]","{1738, 3466}","{1738, 3466}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-80,3,[2524],[2524],{2524},{2524},set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-90,3,[2541],[2541],{2541},{2541},set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-fog-100,3,"[1799, 3896, 4419, 4861]","[1799, 3896, 4419, 4861]","{3896, 4419, 4861, 1799}","{3896, 4419, 4861, 1799}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-10,3,[2565],[2565],set(),{2565},{2565},set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-20,3,"[1557, 2477, 2814]","[1557, 2477, 2814]",set(),"{1557, 2814, 2477}","{1557, 2814, 2477}",set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-30,3,"[2119, 2581]","[2119, 2581]",set(),{2581},"{2581, 2119}",{2119},[2119]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-40,3,"[2168, 2288, 2950]","[2168, 2288, 2950]",set(),{2950},"{2168, 2950}",{2168},[2168]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-50,3,"[2138, 2488]","[2138, 2488]","{2488, 2138}","{2488, 2138}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-60,3,"[2262, 2610]","[2262, 2610]",set(),{2610},"{2610, 2262}",{2262},[2262]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-70,3,"[2154, 2614]","[2154, 2614]",set(),{2614},"{2154, 2614}",{2154},[2154]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-80,3,"[1550, 2428, 2761]","[1550, 2428, 2761]",set(),"{2761, 2428, 1550}","{2761, 2428, 1550}",set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-90,3,"[2053, 2521, 2537]","[2053, 2521, 2537]",set(),"{2521, 2537}","{2521, 2053}",{2053},[2053]
dave2-p10-track1-mcd_5_S128,xai-track1-rain-100,3,"[2192, 2547]","[2192, 2547]","{2192, 2547}","{2192, 2547}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-10,3,"[2103, 2232, 2705]","[2103, 2232, 2705]",set(),{2705},"{2705, 2103}","{2232, 2103}",[2103]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-20,3,"[2191, 2264, 2798]","[2191, 2264, 2798]",set(),{2798},"{2798, 2191}",{2191},[2191]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-30,3,"[2123, 2608]","[2123, 2608]",set(),{2608},"{2608, 2123}",{2123},[2123]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-40,3,"[1601, 3390]","[1601, 3390]",set(),{3390},"{1601, 3390}",{1601},[1601]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-50,3,"[2115, 2254, 2632]","[2115, 2254, 2632]",set(),"{2632, 2254}","{2632, 2115}",{2115},[2115]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-60,3,"[2362, 2750]","[2362, 2750]",set(),{2750},"{2362, 2750}",{2362},[2362]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-70,3,"[2382, 2756]","[2382, 2756]","{2756, 2382}","{2756, 2382}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-90,3,"[2484, 2855]","[2484, 2855]","{2484, 2855}","{2484, 2855}",set(),set(),[]
dave2-p10-track1-mcd_5_S128,xai-track1-snow-100,3,"[2336, 2801]","[2336, 2801]",set(),{2801},"{2336, 2801}",{2336},[2336]
dave2-p10-track1-mcd_5_S128,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",set(),"{4644, 2600, 5453, 2360, 3420}","{2360, 3420, 5453, 4644}",set(),[]
dave2-p10-track1-mcd_5_S128,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,3,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","{5640, 5203, 4900, 6104}","{1185, 3234, 4321, 4900, 2216, 5640, 2250, 1931, 4300, 4047, 3696, 4275, 5203, 1717, 694, 2646, 6104, 956, 2270, 3007}","{1185, 3234, 4321, 2216, 1931, 4047, 3696, 4275, 1717, 694, 2646, 3007, 956, 2270, 351}",{351},[351]
dave2-p10-track1-mcd_5_S128,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,3,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","{5942, 5255}","{3905, 1763, 3172, 5255, 1483, 1995, 5036, 3470, 2935, 2354, 5942, 695, 2297, 2331, 1180, 893}","{3905, 1763, 3172, 1483, 1995, 5036, 3470, 2935, 370, 2354, 695, 2297, 1180, 893}",{370},[370]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_exponential_4_0,3,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","{5243, 4757, 4295}","{1056, 407, 771, 4295, 5257, 1291, 2094, 3312, 1685, 4757, 1655, 4088, 5243, 2430}","{1056, 407, 771, 1291, 2094, 3312, 1655, 4088, 2430}",set(),[]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,3,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","{4339, 3164, 4382}","{2607, 4339, 1619, 919, 3164, 4382}","{1619, 2607, 445, 919}",{445},[445]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_relu_4_2,3,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","{4112, 5017, 4868, 4471}","{2589, 1283, 4868, 1061, 2824, 3386, 4112, 593, 1493, 3158, 4471, 5017, 314, 4251, 3900, 829}","{2589, 1283, 1061, 3386, 593, 1493, 3158, 314, 3900, 829}",set(),[]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_selu_4_0,3,"[733, 1013, 1449, 1764, 3841, 4350, 4545]","[733, 1013, 1449, 1764, 3841, 4350, 4545]",set(),"{3841, 4545, 1764, 1449, 1013, 733, 4350}","{3841, 4545, 1764, 1449, 1013, 733, 4350}",set(),[]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,3,"[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","[532, 920, 1914, 2307, 2896, 3205, 3207, 4096, 4261, 4301, 4310, 4328, 4364, 4614, 5014]","{5014, 4364, 4301, 4614}","{4096, 2307, 3205, 4261, 4614, 4328, 4364, 4301, 2896, 532, 5014, 920, 1914}","{4096, 2307, 3205, 2896, 532, 920, 1914}",set(),[]
dave2-p10-track1-mcd_5_S128,udacity_change_activation_function_mutated0_MP_softmax_4_4,3,"[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","[552, 848, 1141, 1448, 1746, 2029, 2285, 2868, 2882, 3129, 3677, 3935, 3943, 4661]","{4661, 3935}","{2882, 552, 1448, 2029, 2285, 848, 1746, 2868, 1141, 4661, 3129, 3677, 3935}","{552, 1448, 2029, 2285, 848, 1746, 2868, 1141, 3129, 3677}",set(),[]
