heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,1,91,9,7,100,43,459.5131700179852,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,2,91,9,7,100,43,459.5131700179852,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,3,91,9,7,100,43,459.5131700179852,"[3607, 4676]","[3607, 4676]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,1,92,9,16,100,65,459.5131700179852,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,2,92,9,16,100,65,459.5131700179852,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightFog,4,4,0,1,3,92,9,13,100,60,459.5131700179852,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 5290, 5482]",[],[3434]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,1,91,9,7,100,43,459.5131700179852,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,2,91,9,7,100,43,459.5131700179852,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,3,91,9,7,100,43,459.5131700179852,"[2343, 2580]","[2343, 2580]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,1,92,9,10,100,53,459.5131700179852,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],[3603]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,2,92,9,10,100,53,459.5131700179852,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],[3603]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-DayNightSnow,3,3,0,2,3,92,9,10,100,53,459.5131700179852,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],[3603]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,4,0,0,1,92,9,13,100,60,459.5131700179852,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,4,0,0,2,92,9,13,100,60,459.5131700179852,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Fog,4,3,1,0,3,91,9,10,75,45,459.5131700179852,"[436, 2713, 3884, 6214]","[2713, 3884, 6214]",[436],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,1,91,9,7,100,43,459.5131700179852,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,2,91,9,7,100,43,459.5131700179852,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Rain,2,2,0,0,3,91,9,7,100,43,459.5131700179852,"[2945, 4364]","[2945, 4364]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,1,92,9,10,100,53,459.5131700179852,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,2,92,9,10,100,53,459.5131700179852,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,icse20\DAVE2-Track1-Snow,3,3,0,0,3,92,9,10,100,53,459.5131700179852,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,94,7,42,100,88,474.9074670045353,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,94,7,42,100,88,474.9074670045353,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,94,7,36,100,85,474.9074670045353,"[2360, 2600, 3420, 4644, 5453]","[2360, 3420, 4644, 5453]",[],[2600]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,94,7,73,100,96,474.9074670045353,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[],"[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,94,7,73,100,96,474.9074670045353,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[],"[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,11,8,3,3,88,7,61,58,58,474.9074670045353,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270]","[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,94,7,70,100,96,474.9074670045353,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,93,7,68,94,90,474.9074670045353,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[370],"[697, 2331, 5042]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,94,7,70,100,96,474.9074670045353,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470, 3905, 5036, 5255, 5942]",[],"[697, 2331, 5042]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,93,7,61,92,87,474.9074670045353,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[771, 1056, 1291, 1655, 2094, 2430, 3312, 4088, 4295, 4757, 5243]",[407],"[780, 1685, 5257]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,7,5,3,2,90,7,50,58,57,474.9074670045353,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[2094, 2430, 3312, 4088, 4295, 4757, 5243]","[407, 771, 1056, 1291, 1655]","[780, 1685, 5257]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_exponential_4_0,12,4,8,3,3,87,7,36,33,34,474.9074670045353,"[407, 771, 780, 1056, 1291, 1655, 1685, 2094, 2430, 3312, 4088, 4295, 4757, 5243, 5257]","[4088, 4295, 4757, 5243]","[407, 771, 1056, 1291, 1655, 2094, 2430, 3312]","[780, 1685, 5257]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,94,7,50,100,91,474.9074670045353,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,94,7,50,100,91,474.9074670045353,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[445, 919, 1619, 2607, 3164, 4339, 4382]",[],[4385]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,4,3,1,3,91,7,36,57,54,474.9074670045353,"[445, 919, 1619, 2607, 3164, 4339, 4382, 4385]","[2607, 3164, 4339, 4382]","[445, 919, 1619]",[4385]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,94,7,70,100,96,474.9074670045353,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[314, 593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[],"[1503, 2826]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,2,93,7,68,94,90,474.9074670045353,"[314, 593, 829, 1061, 1283, 1493, 1503, 2589, 2824, 2826, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]","[593, 829, 1061, 1283, 1493, 2589, 2824, 3158, 3386, 3900, 4112, 4251, 4471, 4868, 5017]",[314],"[1503, 2826]"
