model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNight,2,1,1,0,1,99,0,50,50,50,0.0032707634516185293,"[3607, 4676]",[4676],[3607],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,2,100,0,67,100,95,0.0032707634516185293,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,3,100,0,67,100,95,0.0032707634516185293,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,1,100,0,83,100,98,0.0032707634516185293,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,2,100,0,83,100,98,0.0032707634516185293,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightFog,4,4,0,1,3,100,0,80,100,98,0.0032707634516185293,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 5290, 5482]",[],[3434]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,1,100,0,67,100,95,0.0032707634516185293,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,2,100,0,67,100,95,0.0032707634516185293,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0,0.0032707634516185293,"[2343, 2580]",[],"[2343, 2580]",[]
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightSnow,3,1,2,2,1,99,0,50,33,34,0.0032707634516185293,"[1, 1618, 2250, 3577, 3603]",[3577],"[1618, 2250]","[1, 3603]"
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,0,67,67,67,0.0032707634516185293,"[1, 1618, 2250, 3577, 3603]","[2250, 3577]",[1618],"[1, 3603]"
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-DayNightSnow,3,0,3,2,3,0,0,0,0,0,0.0032707634516185293,"[1, 1618, 2250, 3577, 3603]",[],"[1618, 2250, 3577]","[1, 3603]"
dave2-p10-track1-mcd_5_S64,max,icse20\DAVE2-Track1-Fog,4,1,3,0,1,99,0,50,25,26,0.0032707634516185293,"[436, 2713, 3884, 6214]",[6214],"[436, 2713, 3884]",[]
