heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,1,1,0,1,97,3,20,50,43,0.03253253086470474,"[3607, 4676]",[4676],[3607],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,1,1,0,2,97,3,20,50,43,0.03253253086470474,"[3607, 4676]",[4676],[3607],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,2,0,0,3,97,3,33,100,83,0.03253253086470474,"[3607, 4676]","[3607, 4676]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,1,97,3,56,100,93,0.03253253086470474,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,2,97,3,56,100,93,0.03253253086470474,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,5,0,0,3,97,3,56,100,93,0.03253253086470474,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,1,97,3,33,100,83,0.03253253086470474,"[2343, 2580]","[2343, 2580]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0,0.03253253086470474,"[2343, 2580]",[],"[2343, 2580]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,2,0,0,3,97,3,33,100,83,0.03253253086470474,"[2343, 2580]","[2343, 2580]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,4,4,0,1,1,97,3,50,100,91,0.03253253086470474,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,3,2,1,2,2,97,3,33,67,61,0.03253253086470474,"[1, 1618, 2250, 3577, 3603]","[2250, 3577]",[1618],[3603]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,4,4,0,1,3,97,3,50,100,91,0.03253253086470474,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,3,1,0,1,97,3,43,75,70,0.03253253086470474,"[436, 2713, 3884, 6214]","[2713, 3884, 6214]",[436],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,4,0,0,2,97,3,50,100,91,0.03253253086470474,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,4,0,0,3,97,3,50,100,91,0.03253253086470474,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0,0.03253253086470474,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0,0.03253253086470474,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0,0.03253253086470474,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,1,1,0,1,97,3,20,50,43,0.03253253086470474,"[2945, 4364]",[4364],[2945],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,1,1,0,2,97,3,20,50,43,0.03253253086470474,"[2945, 4364]",[4364],[2945],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,1,1,0,3,97,3,20,50,43,0.03253253086470474,"[2945, 4364]",[4364],[2945],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,3,0,0,1,97,3,43,100,88,0.03253253086470474,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,2,1,0,2,97,3,33,67,61,0.03253253086470474,"[2664, 6197, 6448]","[6197, 6448]",[2664],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,3,0,0,3,97,3,43,100,88,0.03253253086470474,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
