heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0,0.0420838618614733,"[3607, 4676]",[],"[3607, 4676]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0,0.0420838618614733,"[3607, 4676]",[],"[3607, 4676]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0,0.0420838618614733,"[3607, 4676]",[],"[3607, 4676]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,4,1,0,1,99,0,100,80,82,0.0420838618614733,"[2951, 3251, 3434, 5290, 5482]","[3251, 3434, 5290, 5482]",[2951],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,4,1,0,2,99,0,100,80,82,0.0420838618614733,"[2951, 3251, 3434, 5290, 5482]","[3251, 3434, 5290, 5482]",[2951],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightFog,5,4,1,0,3,99,0,100,80,82,0.0420838618614733,"[2951, 3251, 3434, 5290, 5482]","[3251, 3434, 5290, 5482]",[2951],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0,0.0420838618614733,"[2343, 2580]",[],"[2343, 2580]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0,0.0420838618614733,"[2343, 2580]",[],"[2343, 2580]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0,0.0420838618614733,"[2343, 2580]",[],"[2343, 2580]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,4,3,1,1,1,99,0,100,75,77,0.0420838618614733,"[1, 1618, 2250, 3577, 3603]","[2250, 3577, 3603]",[1618],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,3,2,1,2,2,99,0,100,67,69,0.0420838618614733,"[1, 1618, 2250, 3577, 3603]","[2250, 3577]",[1618],[3603]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-DayNightSnow,4,3,1,1,3,99,0,100,75,77,0.0420838618614733,"[1, 1618, 2250, 3577, 3603]","[2250, 3577, 3603]",[1618],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,1,3,0,1,98,0,100,25,27,0.0420838618614733,"[436, 2713, 3884, 6214]",[6214],"[436, 2713, 3884]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0,0.0420838618614733,"[436, 2713, 3884, 6214]",[],"[436, 2713, 3884, 6214]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Fog,4,4,0,0,3,100,0,100,100,100,0.0420838618614733,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0,0.0420838618614733,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0,0.0420838618614733,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0,0.0420838618614733,[],[],[],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0,0.0420838618614733,"[2945, 4364]",[],"[2945, 4364]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0,0.0420838618614733,"[2945, 4364]",[],"[2945, 4364]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0,0.0420838618614733,"[2945, 4364]",[],"[2945, 4364]",[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,2,1,0,1,99,0,100,67,69,0.0420838618614733,"[2664, 6197, 6448]","[6197, 6448]",[2664],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,2,1,0,2,99,0,100,67,69,0.0420838618614733,"[2664, 6197, 6448]","[6197, 6448]",[2664],[]
smoothgrad,avg-grad,max,icse20\DAVE2-Track1-Snow,3,0,3,0,3,0,0,0,0,0,0.0420838618614733,"[2664, 6197, 6448]",[],"[2664, 6197, 6448]",[]
