heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
track1-MSE-latent2-selforacle,rec. loss,max,mutants\gauss-journal-track1-nominal,0,0,0,0,1,0,0,0,0,0,771.6141113976988,[],[],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\gauss-journal-track1-nominal,0,0,0,0,2,0,0,0,0,0,771.6141113976988,[],[],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\gauss-journal-track1-nominal,0,0,0,0,3,0,0,0,0,0,771.6141113976988,[],[],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,100,100,100,771.6141113976988,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,100,0,100,100,100,771.6141113976988,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,0,4,1,3,0,0,0,0,0,771.6141113976988,"[2360, 2600, 3420, 4644, 5453]",[],"[2360, 3420, 4644, 5453]",[2600]
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,11,8,3,1,94,0,100,58,60,771.6141113976988,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270]","[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,0,19,3,2,0,0,0,0,0,771.6141113976988,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]",[],"[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]","[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,3,16,3,3,87,0,100,16,17,771.6141113976988,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900]","[2250, 4050, 4300]"
track1-MSE-latent2-selforacle,rec. loss,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,4,12,3,1,90,0,100,25,27,771.6141113976988,"[370, 695, 697, 893, 1180, 1483, 1763, 1995, 2297, 2331, 2354, 2935, 3172, 3470, 3905, 5036, 5042, 5255, 5942]","[3905, 5036, 5255, 5942]","[370, 695, 893, 1180, 1483, 1763, 1995, 2297, 2354, 2935, 3172, 3470]","[697, 2331, 5042]"
