heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-10,2,1,1,1,1,99,0,100,50,53,865.0289639603536,"[2297, 2359, 2926]",[2926],[2297],[2359]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-10,2,1,1,1,2,99,0,100,50,53,865.0289639603536,"[2297, 2359, 2926]",[2926],[2297],[2359]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-10,3,0,3,0,3,0,0,0,0,0,865.0289639603536,"[2297, 2359, 2926]",[],"[2297, 2359, 2926]",[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-20,4,4,0,1,1,100,0,100,100,100,865.0289639603536,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 4238]",[],[3404]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-20,4,4,0,1,2,100,0,100,100,100,865.0289639603536,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 4238]",[],[3404]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-20,5,5,0,0,3,100,0,100,100,100,865.0289639603536,"[1670, 3204, 3357, 3404, 4238]","[1670, 3204, 3357, 3404, 4238]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-40,3,3,0,0,1,100,0,100,100,100,865.0289639603536,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-40,3,3,0,0,2,100,0,100,100,100,865.0289639603536,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-40,3,3,0,0,3,100,0,100,100,100,865.0289639603536,"[1724, 3202, 3758]","[1724, 3202, 3758]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-50,3,3,0,1,1,100,0,100,100,100,865.0289639603536,"[1862, 2970, 3075, 3672]","[1862, 2970, 3672]",[],[3075]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-50,3,3,0,1,2,100,0,100,100,100,865.0289639603536,"[1862, 2970, 3075, 3672]","[1862, 2970, 3672]",[],[3075]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-50,3,3,0,1,3,100,0,100,100,100,865.0289639603536,"[1862, 2970, 3075, 3672]","[1862, 2970, 3672]",[],[3075]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-60,1,1,0,0,1,100,0,100,100,100,865.0289639603536,[2595],[2595],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-60,1,1,0,0,2,100,0,100,100,100,865.0289639603536,[2595],[2595],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-60,1,1,0,0,3,100,0,100,100,100,865.0289639603536,[2595],[2595],[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-70,2,2,0,0,1,100,0,100,100,100,865.0289639603536,"[1738, 3466]","[1738, 3466]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-70,2,2,0,0,2,100,0,100,100,100,865.0289639603536,"[1738, 3466]","[1738, 3466]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-70,2,2,0,0,3,100,0,100,100,100,865.0289639603536,"[1738, 3466]","[1738, 3466]",[],[]
track1-MSE-latent2-selforacle,rec. loss,max,ood\xai-track1-fog-80,1,1,0,0,1,100,0,100,100,100,865.0289639603536,[2524],[2524],[],[]
