heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 3420, 4644, 5453]",[],[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,2,3,0,2,97,0,100,40,43,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[4644, 5453]","[2360, 2600, 3420]",[]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 3420, 4644, 5453]",[],[2600]
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,4,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 3420, 5453]",[],"[2600, 4644]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,5,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 3420, 5453]",[],"[2600, 4644]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,6,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 3420, 5453]",[],"[2600, 4644]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,7,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 5453]",[],"[3420, 4644]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,8,100,0,100,100,100,0.036712227242632345,"[2360, 2600, 3420, 4644, 5453]","[2360, 2600, 5453]",[],"[3420, 4644]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,100,0,100,100,100,0.036712227242632345,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[351, 694, 956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]",[],"[2250, 4050, 4300]"
smoothgrad,avg-grad,max,mutants\udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,17,2,3,2,98,0,100,89,90,0.036712227242632345,"[351, 694, 956, 1185, 1717, 1931, 2216, 2250, 2270, 2646, 3007, 3234, 3696, 4047, 4050, 4275, 4300, 4321, 4900, 5203, 5640, 6104]","[956, 1185, 1717, 1931, 2216, 2270, 2646, 3007, 3234, 3696, 4047, 4275, 4321, 4900, 5203, 5640, 6104]","[351, 694]","[2250, 4050, 4300]"
