model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-track1-DE_6,max,DAVE2-Track1-Rain,2,2,0,0,1,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-Rain,2,2,0,0,2,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-Rain,2,2,0,0,3,98,2,12,100,57
dave2-track1-DE_6,mean,DAVE2-Track1-Rain,2,2,0,0,1,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-Rain,2,2,0,0,2,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-Rain,2,2,0,0,3,98,2,12,100,59
dave2-track1-DE_6,max,DAVE2-Track1-Fog,4,4,0,0,1,98,2,21,100,73
dave2-track1-DE_6,max,DAVE2-Track1-Fog,4,4,0,0,2,98,2,21,100,73
dave2-track1-DE_6,max,DAVE2-Track1-Fog,4,4,0,0,3,98,2,21,100,73
dave2-track1-DE_6,mean,DAVE2-Track1-Fog,4,4,0,0,1,98,2,22,100,74
dave2-track1-DE_6,mean,DAVE2-Track1-Fog,4,4,0,0,2,98,2,22,100,74
dave2-track1-DE_6,mean,DAVE2-Track1-Fog,4,4,0,0,3,98,2,22,100,74
dave2-track1-DE_6,max,DAVE2-Track1-Snow,3,3,0,0,1,98,2,17,100,67
dave2-track1-DE_6,max,DAVE2-Track1-Snow,3,3,0,0,2,98,2,17,100,67
dave2-track1-DE_6,max,DAVE2-Track1-Snow,3,3,0,0,3,98,2,17,100,67
dave2-track1-DE_6,mean,DAVE2-Track1-Snow,3,3,0,0,1,98,2,18,100,68
dave2-track1-DE_6,mean,DAVE2-Track1-Snow,3,3,0,0,2,98,2,18,100,68
dave2-track1-DE_6,mean,DAVE2-Track1-Snow,3,3,0,0,3,98,2,18,100,68
dave2-track1-DE_6,max,DAVE2-Track1-DayNight,2,2,0,0,1,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-DayNight,2,2,0,0,3,98,2,12,100,57
dave2-track1-DE_6,mean,DAVE2-Track1-DayNight,2,2,0,0,1,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-DayNight,2,2,0,0,3,98,2,12,100,59
dave2-track1-DE_6,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,12,100,57
dave2-track1-DE_6,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,12,100,57
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,12,100,59
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,12,100,59
dave2-track1-DE_6,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,98,2,25,100,77
dave2-track1-DE_6,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,25,100,77
dave2-track1-DE_6,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,25,100,77
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightFog,5,5,0,0,1,98,2,26,100,78
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,26,100,78
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,26,100,78
dave2-track1-DE_6,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,98,2,21,100,73
dave2-track1-DE_6,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,98,2,17,100,67
dave2-track1-DE_6,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,98,2,21,100,73
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,98,2,22,100,74
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightSnow,3,3,0,2,2,98,2,18,100,68
dave2-track1-DE_6,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,3,98,2,22,100,74
