model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Rain,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Rain,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Fog,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Fog,4,2,2,0,2,99,0,50,50,50
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Fog,4,4,0,0,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Fog,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Fog,4,1,3,0,2,99,0,33,25,26
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Fog,4,3,1,0,3,100,0,60,75,73
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Snow,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Snow,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-Snow,3,2,1,0,3,100,0,50,67,65
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Snow,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Snow,3,2,1,0,2,100,0,50,67,65
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-Snow,3,2,1,0,3,100,0,50,67,65
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNight,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNight,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNight,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNight,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNight,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNight,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightRain,2,1,1,0,1,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightSnow,3,3,0,2,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,3,100,0,60,75,73
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-10,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-10,2,2,0,1,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-10,2,2,0,1,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-10,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-10,2,2,0,1,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-10,2,1,1,1,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-20,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-20,4,4,0,1,2,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-20,4,4,0,1,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-20,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-20,4,4,0,1,2,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-20,4,4,0,1,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-40,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-40,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-40,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-40,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-40,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-40,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-50,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-50,3,3,0,1,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-50,3,3,0,1,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-50,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-50,3,3,0,1,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-50,3,3,0,1,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-60,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-60,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-60,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-60,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-60,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-60,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-70,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-70,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-70,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-70,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-80,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-80,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-80,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-80,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-80,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-80,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-90,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-90,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-90,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-90,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-90,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-100,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-100,4,4,0,0,2,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-fog-100,4,4,0,0,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-100,4,4,0,0,1,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-100,4,4,0,0,2,100,0,67,100,95
dave2-track1-DE_M_3_4_5,mean,xai-track1-fog-100,4,4,0,0,3,100,0,67,100,95
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-10,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-10,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-10,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-10,1,1,0,0,1,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-10,1,1,0,0,2,100,0,33,100,83
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-10,1,1,0,0,3,100,0,33,100,83
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-20,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-20,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-20,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-20,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-20,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-20,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-30,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-30,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-30,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-30,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-30,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-30,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-40,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-40,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-40,2,1,1,1,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-40,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-40,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-40,2,1,1,1,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-50,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-50,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-50,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-50,2,1,1,0,1,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-50,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-50,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-60,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-60,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-60,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-60,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-60,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-60,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-70,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-70,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-70,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-70,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-80,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-80,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-80,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-80,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-80,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-80,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-90,2,2,0,1,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-90,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-90,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-90,2,2,0,1,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-90,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-90,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-100,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-100,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-rain-100,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-100,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-100,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-rain-100,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-10,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-10,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-10,3,2,1,0,3,100,0,50,67,65
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-10,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-10,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-10,3,1,2,0,3,99,0,33,33,33
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-20,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-20,2,2,0,1,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-20,2,2,0,1,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-20,3,2,1,0,1,100,0,50,67,65
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-20,2,2,0,1,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-20,2,1,1,1,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-30,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-30,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-30,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-30,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-30,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-30,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-40,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-40,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-40,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-40,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-40,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-40,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-50,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-50,3,3,0,0,2,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-50,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-50,3,3,0,0,1,100,0,60,100,94
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-50,3,0,3,0,2,0,0,0,0,0
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-50,3,3,0,0,3,100,0,60,100,94
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-60,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-60,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-60,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-60,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-60,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-60,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-70,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-70,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-70,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-70,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-70,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-90,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-90,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-90,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-90,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-90,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-90,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-100,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-100,2,2,0,0,2,100,0,50,100,91
dave2-track1-DE_M_3_4_5,max,xai-track1-snow-100,2,2,0,0,3,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-100,2,2,0,0,1,100,0,50,100,91
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-100,2,1,1,0,2,100,0,33,50,48
dave2-track1-DE_M_3_4_5,mean,xai-track1-snow-100,2,1,1,0,3,100,0,33,50,48
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,3,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,100,0,71,100,96
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,3,100,0,71,100,96
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,1,100,0,91,100,99
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,2,100,0,91,100,99
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,20,1,1,3,100,0,91,95,95
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,1,100,0,91,100,99
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,21,0,1,2,100,0,91,100,99
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,21,19,2,1,3,99,0,90,90,90
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,16,1,2,1,100,0,89,94,94
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,17,0,2,2,100,0,89,100,99
dave2-track1-DE_M_3_4_5,max,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,17,0,2,3,100,0,89,100,99
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,16,1,2,1,100,0,89,94,94
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,17,0,2,2,100,0,89,100,99
dave2-track1-DE_M_3_4_5,mean,udacity_add_weights_regularisation_mutated0_MP_l2_3_0,17,17,0,2,3,100,0,89,100,99
