model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Rain,2,1,1,0,1,96,4,3,50,21
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Rain,2,1,1,0,2,96,4,3,50,21
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Rain,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Fog,4,4,0,0,1,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Fog,4,4,0,0,2,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Fog,4,4,0,0,3,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Snow,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Snow,3,3,0,0,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-Snow,3,3,0,0,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNight,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNight,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNight,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,96,4,15,100,64
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,96,4,15,100,64
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,96,4,15,100,64
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-10,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-10,2,2,0,1,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-10,2,1,1,1,3,96,4,3,50,21
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-20,5,5,0,0,1,96,4,15,100,64
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-20,4,4,0,1,2,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-20,4,4,0,1,3,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-40,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-40,3,1,2,0,2,96,4,3,33,18
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-40,3,3,0,0,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-50,4,4,0,0,1,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-50,3,3,0,1,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-50,3,3,0,1,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-60,1,1,0,0,1,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-60,1,1,0,0,2,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-60,1,1,0,0,3,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-70,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-70,2,1,1,0,2,96,4,3,50,21
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-80,1,1,0,0,1,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-80,1,1,0,0,2,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-90,1,1,0,0,1,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-90,1,1,0,0,2,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-90,1,1,0,0,3,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-100,4,4,0,0,1,96,4,12,100,59
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-100,4,2,2,0,2,96,4,7,50,30
dave2-p10-track1-mcd_30_S128,max,xai-track1-fog-100,4,3,1,0,3,96,4,10,75,45
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-10,1,1,0,0,1,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-10,1,1,0,0,2,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-10,1,1,0,0,3,96,4,3,100,26
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-20,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-20,3,3,0,0,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-20,3,3,0,0,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-30,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-30,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-30,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-40,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-40,3,3,0,0,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-40,2,1,1,1,3,96,4,3,50,21
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-50,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-50,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-50,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-60,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-60,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-60,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-70,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-70,2,2,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-70,2,2,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-80,3,3,0,0,1,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-80,3,3,0,0,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-80,3,3,0,0,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-90,2,2,0,1,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-90,3,3,0,0,2,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-90,3,3,0,0,3,96,4,10,100,52
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-100,2,2,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S128,max,xai-track1-rain-100,2,2,0,0,2,96,4,7,100,42
