model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Rain,2,2,0,0,1,97,3,9,100,49
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Rain,2,2,0,0,2,97,3,9,100,49
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Rain,2,2,0,0,3,97,3,9,100,49
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Rain,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Rain,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Rain,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Fog,4,4,0,0,1,97,3,16,100,66
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Fog,4,4,0,0,2,97,3,16,100,66
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Fog,4,4,0,0,3,97,3,16,100,66
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Fog,4,4,0,0,1,97,3,17,100,68
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Fog,4,4,0,0,2,97,3,17,100,68
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Fog,4,4,0,0,3,97,3,17,100,68
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Snow,3,3,0,0,1,97,3,12,100,59
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Snow,3,3,0,0,2,97,3,12,100,59
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-Snow,3,3,0,0,3,97,3,12,100,59
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Snow,3,3,0,0,1,97,3,14,100,61
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Snow,3,3,0,0,2,97,3,14,100,61
dave2-track1-DE_M_1_5_6_7,mean,DAVE2-Track1-Snow,3,3,0,0,3,97,3,14,100,61
dave2-track1-DE_M_1_5_6_7,max,DAVE2-Track1-DayNight,2,2,0,0,1,97,3,9,100,49
