model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Rain,1,1,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Rain,1,1,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Rain,1,1,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Fog,2,2,0,0,1,96,4,12,100,59
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Fog,2,2,0,0,2,96,4,12,100,59
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Fog,2,2,0,0,3,96,4,12,100,59
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Snow,1,1,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Snow,1,1,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-Snow,1,1,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNight,1,1,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNight,1,1,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNight,1,1,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightRain,0,0,0,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightRain,0,0,0,0,2,0,0,0,0,0
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightRain,0,0,0,0,3,0,0,0,0,0
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightFog,1,1,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightFog,1,1,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightFog,1,1,0,0,3,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightSnow,1,1,0,0,1,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightSnow,1,1,0,0,2,96,4,7,100,42
dave2-p10-track1-mcd_30_S10,max,DAVE2-Track1-DayNightSnow,1,1,0,0,3,96,4,7,100,42
